"","Sample_01-a01va","Sample_02-a01vb","Sample_03-a01vc","Sample_04-a01ca","Sample_05-a01cb","Sample_06-a01cc","Sample_07-a02vb","Sample_08-a02vc","Sample_09-a02ca","Sample_10-a02cb","Sample_11-a02cc","Sample_12-a04va","Sample_13-a04vb","Sample_14-a04vc","Sample_15-a04ca","Sample_16-a04cb","Sample_17-a04cc","Sample_18-a05va","Sample_19-a05vb","Sample_20-a05vc","Sample_21-a05ca","Sample_22-a05cb","Sample_23-a05cc","Sample_24-a06ca","Sample_25-a06cb","Sample_26-a07va","Sample_27-a07vb","Sample_28-a07vc","Sample_29-a07ca","Sample_30-a07cb","Sample_31-a07cc","Sample_32-a08va","Sample_33-a08vb","Sample_34-a08vc","Sample_35-a08ca","Sample_36-a08cc","Sample_37-a09va","Sample_38-a09vb","Sample_39-a09vc","Sample_40-a09ca","Sample_41-a09cb","Sample_42-a09cc","Sample_43-a10va","Sample_44-a10vb","Sample_45-a10vc","Sample_46-a10ca","Sample_47-a10cb","Sample_48-a10cc","Sample_49-a12va","Sample_50-a12vb","Sample_51-a13va","Sample_52-a13vb","Sample_53-a13vc","Sample_54-a13ca","Sample_55-a13cb","Sample_56-a13cc","Sample_57-a14va","Sample_58-a14vb","Sample_59-a14vc","Sample_60-a14ca","Sample_61-a14cb","Sample_62-a14cc","Sample_63-a17va","Sample_64-a17vb","Sample_65-a17vc","Sample_66-a17ca","Sample_67-a17cb","Sample_68-a17cc","Sample_69-arva","Sample_70-arvb","Sample_71-arvc","Sample_72-arca","Sample_73-arcb","Sample_74-arcc"
"gene_718",0,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,16,18,20,0,0,0,0,0,8,13,5,0,0,0,15,15,5,0,0,5,13,7,0,0,0,14,10,11,0,0,0,12,11,18,21,8,0,0,0,5,15,17,0,0,0,11,34,21,0,0,0,0,0,0,0,0,0
"gene_719",0,0,0,0,0,0,0,0,0,0,0,6,6,6,0,0,0,12,17,22,0,0,0,0,0,11,26,15,0,0,0,32,34,14,0,0,16,26,14,0,0,0,27,5,27,0,0,0,90,148,390,302,162,0,0,0,456,383,475,0,0,0,277,305,209,0,0,0,3,0,1,0,0,0
"gene_720",0,0,0,0,0,0,0,0,0,0,0,36,31,14,0,0,0,22,51,31,0,0,0,0,0,18,40,11,0,0,0,19,44,20,0,0,15,24,7,0,0,0,10,12,13,0,0,0,19,28,74,72,30,0,0,0,140,70,73,0,0,0,101,87,55,0,0,0,0,0,0,0,0,0
"gene_721",0,0,0,0,0,0,0,0,0,0,0,3,9,5,0,0,0,13,24,35,0,0,0,0,0,68,81,58,0,0,0,176,184,83,0,0,119,185,67,0,0,0,119,87,171,0,0,0,187,314,377,352,134,0,0,0,219,230,249,0,0,0,154,159,94,0,0,0,0,0,0,0,0,0
"gene_722",0,0,0,0,0,0,0,0,0,0,0,24,26,6,0,0,0,32,50,64,0,0,0,0,0,29,101,51,0,0,0,99,118,49,0,0,81,138,42,0,0,0,110,54,134,0,0,0,101,212,199,174,69,0,0,0,129,134,153,0,0,0,98,109,79,0,0,0,0,0,1,0,0,0
"gene_723",0,0,0,0,0,0,0,0,0,0,0,5,7,3,0,0,0,5,13,20,0,0,0,0,0,4,19,3,0,0,0,16,28,16,0,0,6,9,7,0,0,0,10,7,15,0,0,0,7,12,12,19,8,0,0,0,23,4,20,0,0,0,17,17,10,0,0,0,0,0,0,0,0,0
"gene_724",0,0,0,0,0,0,0,0,0,0,0,29,46,15,0,0,0,39,54,82,0,0,0,0,0,33,65,42,0,0,0,88,88,15,0,0,39,63,13,0,0,0,25,21,56,0,0,0,40,63,55,38,18,0,0,0,34,43,48,0,0,0,61,60,39,0,0,0,0,0,0,0,0,0
"gene_725",0,0,0,0,0,0,0,0,0,0,0,18,14,8,0,0,0,20,44,54,0,0,0,0,0,25,36,15,0,0,0,61,50,20,0,0,19,42,16,0,0,0,26,21,32,0,0,0,17,11,37,31,4,0,0,0,25,25,11,0,0,0,35,29,21,0,0,0,0,0,0,0,0,0
"gene_726",0,0,0,0,0,0,0,1,0,0,0,44,39,14,0,0,0,23,65,66,0,0,0,0,0,27,47,30,0,0,0,50,80,36,0,0,16,69,18,0,0,0,32,16,37,0,0,0,32,24,44,47,21,0,0,0,44,24,44,0,0,0,63,82,49,0,0,0,0,0,0,0,0,0
"gene_727",0,0,0,0,0,0,0,0,0,0,0,23,19,8,0,0,0,36,44,54,0,0,0,0,0,16,63,27,0,0,0,55,82,20,0,0,19,57,21,0,0,0,33,44,45,0,0,0,22,44,58,53,24,0,0,0,55,40,61,0,0,0,71,71,39,0,0,0,0,0,0,0,0,0
"gene_728",0,0,0,0,0,0,0,0,0,0,0,64,64,23,0,0,0,68,130,119,0,0,0,0,0,71,110,77,0,0,0,119,152,44,0,0,57,96,38,0,0,0,67,44,76,0,0,0,41,83,48,46,40,0,0,0,32,38,84,0,0,0,111,96,66,0,0,0,0,0,0,0,0,0
"gene_729",0,0,0,0,0,0,0,0,0,0,0,27,31,9,0,0,0,45,97,120,0,0,0,0,0,35,170,78,0,0,0,143,204,67,0,0,88,110,50,0,0,2,78,73,82,0,0,0,65,104,112,89,46,0,0,0,73,63,85,0,0,0,102,109,64,0,0,0,0,0,0,0,0,0
